y_train,mlp
1,0.5391001389514362
1,0.46031917533737315
1,0.4149107590012282
0,0.3635879876469983
0,0.4341372687266085
0,0.3358773909664327
0,0.4097390825651881
1,0.5978181109921135
1,0.575407278462682
1,0.532103979438663
0,0.4034793755455525
1,0.7030431274072189
0,0.34588741754882973
1,0.5017613745601845
0,0.45276570448430736
1,0.5213243126116228
0,0.5245754024545859
1,0.48104554039289926
0,0.3792336006084523
0,0.4510739975918229
1,0.5185491240755712
1,0.5046248508706814
1,0.5732935285471025
1,0.4521637159118932
0,0.4438151588613594
0,0.4471955246562343
0,0.37993053058843845
1,0.6378105674788691
0,0.49254468513632516
0,0.5348309729995886
1,0.6191602139308716
0,0.5225225905674415
1,0.7328643209403486
1,0.40860750197549756
1,0.533083879472117
0,0.5342078295861299
1,0.46106641813778465
1,0.5781861163012983
1,0.584476935776853
0,0.5311776167401999
0,0.5007861224898172
0,0.49248526425778455
1,0.4810864921616929
0,0.6146549853683462
1,0.42292227770396645
0,0.5662050496008323
1,0.5031446881309459
0,0.3280640915371762
1,0.5398362382250927
1,0.5495163773609155
0,0.3465710070362057
1,0.8371219017307279
0,0.5302572878899408
1,0.4882669404456099
1,0.7433262223312211
0,0.3944473874800645
1,0.47124457143823556
1,0.4673155964312477
1,0.4699301910898287
1,0.5745497490534297
1,0.49429655027174113
1,0.47150921808225416
1,0.45547126740205013
0,0.4334154820373802
1,0.45174853815443
1,0.43712093634459065
1,0.4747279628951754
0,0.49863845214680474
1,0.7072073022461591
0,0.43252911341414146
1,0.5565895995147457
0,0.4886480777300996
1,0.6741085937881371
0,0.5034664793955136
1,0.49926372146096054
0,0.4878833626507994
1,0.4934259577149212
1,0.6614250556156084
0,0.573901704384764
1,0.7296415010011973
0,0.39828321401388556
1,0.6383385063359932
1,0.5229715445142603
1,0.4944297828074709
1,0.47206526693966677
1,0.4603336424054819
0,0.46054060783415046
0,0.45861108104689124
0,0.42373607170450966
1,0.4969252734809746
1,0.43031966368206626
1,0.4970377180517132
0,0.5104036095238614
0,0.40827602492424736
1,0.45668490616365726
0,0.570916626780427
1,0.4745397898678772
1,0.54743939563884
0,0.5697920836470073
0,0.4452626354619912
1,0.42316491565595354
0,0.4612225109595904
0,0.3796408029497802
0,0.383403437539211
1,0.5142888885655098
1,0.7325765027555688
1,0.6581429005154732
1,0.557524419249108
1,0.5673529212439816
1,0.6115245397260162
0,0.3992976341568572
1,0.6817445200513191
0,0.48468536388884564
1,0.6021644711300799
0,0.44591365858458776
0,0.37864518306296086
1,0.6381443203831952
0,0.5740584521324107
1,0.56766484877169
0,0.5527098393085019
1,0.5427716624720834
1,0.5322683724120344
0,0.6400652027542729
1,0.4171966938299547
1,0.6279817051705036
1,0.6613724282114917
0,0.5161323647923898
0,0.4642700287638419
1,0.46705757424669897
0,0.5648451917835439
0,0.6047913578460997
1,0.7628736169116416
0,0.5482972135520272
1,0.47598000301803334
0,0.5635834472453807
0,0.35515030707287737
0,0.4727180444128884
1,0.926119554219161
1,0.577446062494798
1,0.5662716490210765
1,0.5559110261373212
1,0.3701545663733352
1,0.4721820661513838
1,0.7134315448564551
0,0.4224442353893251
1,0.7928720715979889
0,0.4678513756409332
0,0.43972264806984973
0,0.26684088524299693
1,0.7640351251851315
1,0.5997816664093928
1,0.3928677190696461
0,0.42448696992706114
0,0.4123773474677167
1,0.6130120536496456
1,0.6005682562618075
0,0.37064674803037645
1,0.532415965938685
0,0.4689496853733758
1,0.554901970299267
0,0.496406710011671
1,0.3399522295128144
1,0.5829991370115146
1,0.5730680269115518
1,0.4322262769093525
1,0.4088896852759699
1,0.5762599894129347
1,0.4653902376762515
0,0.5373343934848007
0,0.44359797371637694
