y_train,rf
1,0.8521097952621886
1,0.5675460786860557
1,0.6921686161894811
0,0.3972958678670319
0,0.4253220605044273
0,0.19320460790312396
0,0.25961103065539715
1,0.8002892532579015
1,0.66625865993852
1,0.640964860472622
0,0.4360269914627176
1,0.8608789115223999
0,0.13319423287832263
1,0.7596991678864521
0,0.24778648146056384
1,0.7133123044033988
0,0.5839543471713253
1,0.40609621039864796
0,0.2879374952097495
0,0.17931602561363238
1,0.43882160841142404
1,0.5775444588613988
1,0.5133172548492027
1,0.5181936223429113
0,0.4632463723553398
0,0.40100365346052036
0,0.1673468672202223
1,0.8802677944103077
0,0.3241750876685243
0,0.5207127141958513
1,0.729609493957224
0,0.7364625984370493
1,0.9016064569324499
1,0.8341270595244765
1,0.7310363059264583
0,0.5486459849146172
1,0.5578441793780654
1,0.7925367695591502
1,0.8460008729781627
0,0.5885186183561355
0,0.5607450157738679
0,0.6113823588805497
1,0.6909122335610992
0,0.6445396172360428
1,0.4496086490054754
0,0.5660512521016176
1,0.7721258014404021
0,0.2502558221723961
1,0.6285050852932939
1,0.6056404796777781
0,0.1199088597545696
1,0.924208054579985
0,0.5319309365504384
1,0.7453516093881721
1,0.8422580542784373
0,0.1736158737713841
1,0.34914337805519774
1,0.49846544533745324
1,0.7500894942990424
1,0.815941442562653
1,0.6653696865478071
1,0.6946423049193985
1,0.21556883980505415
0,0.16089117741409725
1,0.5264741517097541
1,0.6136499009137815
1,0.8086297916594235
0,0.5663987896786038
1,0.8434154991244331
0,0.439721985946409
1,0.5618889206826165
0,0.6980359646225279
1,0.8896390568398971
0,0.4146196315549051
1,0.6829347509330239
0,0.5274052608119243
1,0.8432324863321495
1,0.7883550417862165
0,0.5842015376268909
1,0.8470713926090988
0,0.1929361869573388
1,0.6992287469563673
1,0.531620975779168
1,0.7352848608672519
1,0.7158120877644133
1,0.60518620046701
0,0.3705004911800895
0,0.49106992483643674
0,0.3385160415806975
1,0.36771704099292757
1,0.27311955052658476
1,0.6517405881940023
0,0.8103194670902708
0,0.12692549152033042
1,0.6742990423998828
0,0.716891320491278
1,0.3498126480231823
1,0.7150642038220646
0,0.5962781435277144
0,0.43689412427771707
1,0.6053851670411364
0,0.33859457334208776
0,0.15759535330980193
0,0.1547159999779105
1,0.43606540390161164
1,0.6699818295755557
1,0.9097036330090592
1,0.8967500205210311
1,0.4034172548395617
1,0.8328512714581631
0,0.3057489969970432
1,0.6466779164329043
0,0.4800817254975223
