y_train,cat
1,0.9868971578148629
1,0.5312290095614072
1,0.9563452869247213
0,0.12406924546976636
0,0.5212833473187886
0,0.0147296486679496
0,0.02582212628399285
1,0.9883652183667699
1,0.7469358430980065
1,0.7275436031625181
0,0.17581322772532015
1,0.9837620163965164
0,0.012400951127685944
1,0.9911948141982379
0,0.008762221971376459
1,0.5506432865339235
0,0.813605719598684
1,0.12206113564852313
0,0.0014748569707334527
0,0.010191163294224863
1,0.5964761597340756
1,0.4545118424839516
1,0.5834043939479949
1,0.6845493495326344
0,0.6704194973806472
0,0.22304801753593664
0,0.02804070138444376
1,0.9998609253910986
0,0.12172105429001258
0,0.1799148849610614
1,0.9445327781354114
0,0.9858679009220477
1,0.9983655671058557
1,0.9853696424846816
1,0.6184691510891921
0,0.4948395638887005
1,0.3616118267786622
1,0.7666603623019638
1,0.979757892727791
0,0.27123315530984027
0,0.6450547383769057
0,0.5027282498444658
1,0.9056616244776917
0,0.8544139632595253
1,0.10736090520293756
0,0.367681840239507
1,0.8663842672989218
0,0.026617163272558555
1,0.6779132718066854
1,0.17504930147763575
0,0.005843378486642166
1,0.9998894226213093
0,0.49601070331942426
1,0.9688883858329456
1,0.9955754184607889
0,0.08557877836258697
1,0.3419584328182184
1,0.31305944078020087
1,0.8336364225765781
1,0.9357586271618964
1,0.8832538763739342
1,0.6182914103516532
1,0.01774162823474539
0,0.02136785989210851
1,0.9552725622484797
1,0.327763274548659
1,0.9267112436979642
0,0.773267795260222
1,0.9944633964934791
0,0.20387374545548306
1,0.9290057089476368
0,0.7947858253253907
1,0.9904758240881828
0,0.7135944519231275
1,0.9668056409032757
0,0.6169862583562628
1,0.9773422199100946
1,0.9213976851864578
0,0.1539663990845073
1,0.9992645283390047
0,0.007593048794853338
1,0.7563763278452186
1,0.29560482967819257
1,0.9160334912179214
1,0.8433858119933456
1,0.7416915349060348
0,0.3463670360752456
0,0.520769108802172
0,0.07666018061882703
1,0.3229388789671222
1,0.031678509327390705
1,0.9369358597510378
0,0.9890437902159748
0,0.0111515040331061
1,0.7688566042915019
0,0.9025854532467712
1,0.2393212472521799
1,0.9398647487262726
0,0.3196665533405686
0,0.8506969784632679
1,0.7717863310890577
0,0.09666931571320055
0,0.002528004419672786
0,0.005683641614737215
1,0.06432359257496545
1,0.9712519601642471
1,0.9988261025204027
1,0.9983495680939682
1,0.19792667179139545
1,0.9931524716442026
0,0.17586074107738578
1,0.9917715123974065
0,0.3432047966833507
1,0.9825748448760523
0,0.5762063447065882
0,0.25355940567491947
1,0.999839520556547
0,0.9864946700471487
1,0.8527033162412914
0,0.6029262608388171
1,0.32180355576871056
1,0.8362586585327788
0,0.9793662419409475
1,0.885770201700677
1,0.8972312550525426
1,0.9596668671912494
0,0.7378854414423981
0,0.12231458056147322
1,0.9056844405740365
0,0.6841474374031375
0,0.16106608675707654
1,0.9993582293099063
0,0.9714002621884983
1,0.37308232211986836
0,0.47804047974039743
0,0.0983526002088931
0,0.0745510737892121
1,0.9996195597598122
1,0.7562262925074669
1,0.9938567886817342
1,0.9625986063107089
1,0.3448824737589493
1,0.1900096340431091
1,0.999597277383049
0,0.737207867900144
1,0.8787419490707855
0,0.005383031117962073
0,0.3688631314403198
0,0.5695573293790731
1,0.9995331651134844
1,0.982276769278682
1,0.9836092133808422
0,0.36263138600667844
0,0.8901708157581553
1,0.8802201592155025
1,0.9937685750794304
0,0.2875305100561672
1,0.9746107741613949
0,0.03023967355780481
1,0.9814247140051164
0,0.49582573329314994
1,0.005716943543916472
1,0.748843017360646
1,0.9565207568375681
1,0.12684060412746534
1,0.010598893228100755
1,0.8780691479511963
1,0.8435683092027239
0,0.9502545434970986
0,0.9207605054605125
1,0.4714509816456215
1,0.5748449732625697
0,0.004180891857701301
0,0.7522950288157916
1,0.89768322737634
1,0.9470614048575989
1,0.9997656194702116
1,0.00510119276545357
1,0.9318630960497974
0,0.23994008784492266
0,0.004947069777178429
1,0.963558478096086
1,0.7141548063665053
0,0.7735430978557507
1,0.6969201400809713
0,0.9816843620505852
1,0.9895510136522058
1,0.9800316244781155
1,0.5895200322778809
1,0.013196006125047828
1,0.9806049721898337
1,0.966531330972053
0,0.0006341056163138374
1,0.9471780135024488
0,0.9796045481975936
1,0.9982622525736247
1,0.9792900416461793
1,0.9219882359565895
1,0.5804161473048659
0,0.6900628691100557
1,0.25294456094654183
1,0.9486183808038515
0,0.6537713273440795
1,0.8711012229266675
1,0.10087362371728242
0,0.4419929052642149
1,0.8923675461535937
1,0.980266774010492
1,0.18705105060466748
1,0.5080750106364367
1,0.8465578919705363
1,0.8969510990252509
1,0.296124557927205
0,0.986902427500598
0,0.8996352849317681
1,0.9943895397672915
0,0.4207397621851054
0,0.8402159017887135
0,0.9996148741007015
0,0.48971414588747225
1,0.888002319745555
0,0.04868092502835929
0,0.07464854448651018
1,0.9560985093232093
1,0.9433436743659382
0,0.6338493251489795
1,0.9952015426927759
1,0.8687622708377798
1,0.8492318466076043
1,0.05210544070730882
1,0.9984575793665937
1,0.606027785604164
1,0.9129561006553324
0,0.08394948238876676
0,0.08093654083594459
1,0.6891931341754983
0,0.6629099624845464
1,0.9747423680220504
0,0.9663141415554354
1,0.8265574225132248
1,0.9808385925504753
0,0.3817737671306775
0,0.11929072525608198
0,0.6383042099901494
1,0.5663591461102583
1,0.0807309680632408
1,0.8363655465673411
1,0.9467433131224524
0,0.09933459893141354
1,0.855303152068355
1,0.13794322781290086
1,0.9552640714089055
1,0.911668586371908
1,0.9613841325594251
0,0.30346954306530843
0,0.021270229232541786
1,0.9988073800421904
1,0.5681694532548712
1,0.9049047431708493
0,0.11072894785853565
1,0.10817221929373165
1,0.7952780937039258
1,0.5327564402294128
0,0.9149213299649526
1,0.9818315764924457
1,0.9955248523999105
0,0.1420851959217271
1,0.9158568887157267
1,0.9833844017842861
0,0.0678192600812733
0,0.09791001655306653
