y_train,ada
1,0.6369154676454543
1,0.5293018319762833
1,0.5825852969704682
0,0.4748186383138528
0,0.35725617426916284
0,0.3252499336625846
0,0.374819480043976
1,0.6171143203371082
1,0.5668152054474539
1,0.5766433689001766
0,0.43420941501240706
1,0.6774653344717501
0,0.3146838405993706
1,0.5569580547002654
0,0.374819480043976
1,0.6108909941230661
0,0.4590480416179824
1,0.4671104461771312
0,0.3252499336625846
0,0.36343342572397275
1,0.46614773617677846
1,0.5508074770219835
1,0.5000633711864163
1,0.6207464347033571
0,0.5033032712091571
0,0.36343342572397275
0,0.374819480043976
1,0.8354226288169463
0,0.40968383240900486
0,0.5033032712091571
1,0.5569580547002654
0,0.5363563899000389
1,0.657269461277678
1,0.6183618051091158
1,0.6358494092662611
0,0.5501788747312821
1,0.595836729587946
1,0.7705443100820043
1,0.6368906858460937
0,0.561355250002687
0,0.4748186383138528
0,0.5293018319762833
1,0.6021950328562721
0,0.5425040658111183
1,0.5260476552263857
0,0.4462583693257874
1,0.5917684230831752
0,0.390509772413866
1,0.5507809632430654
1,0.5569580547002654
0,0.34308760543086864
1,0.790238242075214
0,0.5119841508429935
1,0.5711629035316477
1,0.6931366028121372
0,0.374819480043976
1,0.4340852559890788
1,0.49770040346483235
1,0.5823314527263036
1,0.6369154676454543
1,0.5492214117215019
1,0.5382074352266363
1,0.44451664775756666
0,0.3392074397211934
1,0.5371717868273724
1,0.4787888192379108
1,0.6297660106424682
0,0.5308981214666452
1,0.6368906858460937
0,0.4832636758456475
1,0.5558293189041532
0,0.5796744239471308
1,0.6693514134007447
0,0.4555045170561762
1,0.509533562926927
0,0.5039317054465016
1,0.6410227640143229
1,0.6358742215014513
0,0.4970738115603727
1,0.7471157006068764
0,0.3486045937650205
1,0.5277784457986974
1,0.5293018319762833
1,0.56616111665216
1,0.5894406340588375
1,0.5182280842385838
0,0.47641692412294084
0,0.42007416578243023
0,0.33805439462075176
1,0.43420941501240706
1,0.4160925776759435
1,0.5917684230831752
0,0.5851251248592193
0,0.374819480043976
1,0.5644310960641923
0,0.5699065475864351
1,0.47381851201885306
1,0.603374598923223
0,0.47607913747793357
0,0.47641692412294084
1,0.5226985260072479
0,0.36302511240580126
0,0.35017621219325795
0,0.3322273535833174
1,0.5293018319762833
1,0.7136241081769091
1,0.6410227640143229
1,0.6681544169856567
1,0.4342913656618313
1,0.5846233416788885
0,0.40975305466843415
1,0.5883811664006541
0,0.4739445179858649
1,0.6799614159658135
0,0.4748186383138528
0,0.4748186383138528
1,0.6109164663411892
0,0.5033032712091571
1,0.5766433689001766
0,0.4917916771508755
1,0.6592976951004836
1,0.5699328139616994
0,0.6171143203371082
1,0.5209733766246826
1,0.603374598923223
1,0.5917684230831752
0,0.4070483768800884
0,0.4722210813386439
1,0.6371244180615903
0,0.6358494092662611
0,0.56616111665216
1,0.6369154676454543
0,0.5331907809887443
1,0.44473979333303065
0,0.4739445179858649
0,0.4021279290237303
0,0.4434881454495007
1,0.6745687723888526
1,0.6368906858460937
1,0.6358494092662611
1,0.5452563099644554
1,0.4748186383138528
1,0.4462583693257874
1,0.790238242075214
0,0.5108597787011396
1,0.6851703875075472
0,0.4215477510938307
0,0.5226985260072479
0,0.477427092422394
1,0.7151471717651221
1,0.6317169282261791
1,0.5749546461433906
0,0.4748186383138528
0,0.49882534908317316
1,0.5917684230831752
1,0.6223705896620809
0,0.41246873632228404
1,0.6223705896620809
0,0.4462583693257874
1,0.5585912835495774
0,0.5119841508429935
1,0.374819480043976
1,0.56616111665216
1,0.6317169282261791
1,0.47545214674942105
1,0.46191770857091363
1,0.6552229754882817
1,0.5711629035316477
0,0.5105717157712499
0,0.526921617334225
1,0.5990512277824896
1,0.48151428185396083
0,0.34308760543086864
0,0.47711543488338404
1,0.6297728832407395
1,0.5939581471935461
1,0.79113253167638
1,0.3486045937650205
1,0.5039317054465016
0,0.41839082127719873
0,0.35017621219325795
1,0.5705291014280855
1,0.5492214117215019
0,0.6181769994628271
1,0.5122099348451569
0,0.5527538786532422
1,0.6408069472516041
1,0.5431461084243151
1,0.49770040346483235
1,0.4237249104354409
1,0.603374598923223
1,0.5788897943950425
0,0.3252499336625846
1,0.7452489946961848
0,0.5894406340588375
1,0.6622395132466931
1,0.6358494092662611
1,0.5294118016463583
1,0.42007416578243023
0,0.4722210813386439
1,0.4739445179858649
1,0.5863432994521887
0,0.544783040939686
1,0.5611157195640976
1,0.4801080029144894
0,0.5026682148719881
1,0.48663859483887645
1,0.5906809113032603
1,0.4628989019066712
